Nome,Email,Telefone
Ana Júlia Costela,da-pazvitoria@example.org,+55 (041) 9527-4448
Raquel Duarte,wcosta@example.net,(071) 8658-7984
Fernanda Barbosa,mendesana-julia@example.net,+55 71 6011-8374
Elisa Santos,biancarocha@example.com,+55 (011) 0173 8419
Kevin Silveira,hmonteiro@example.net,0300 863 3286
Sra. Heloísa Pires,raulsales@example.net,+55 84 3014-5247
Letícia Vieira,pedro-lucascastro@example.com,+55 21 9999 5360
Sra. Ana Laura Moraes,haraujo@example.net,(071) 1871 0316
Nina Alves,pedro-henriquefreitas@example.com,0500-163-0851
Levi Ribeiro,thales97@example.net,(031) 5959 7982
